,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
377,36,5,2,2,0,3,1,0,0,0
378,175,5,16,8,2,0,1,3,0,0
379,92,12,11,8,5,10,0,1,0,0
380,59,2,6,1,2,4,0,1,0,0
381,45,4,1,4,1,0,0,1,1,0
382,27,1,2,0,0,0,0,0,1,0
383,84,3,4,0,0,0,0,0,1,0
384,84,4,10,5,2,1,0,4,1,0
385,77,9,12,4,1,4,3,1,0,0
386,125,15,7,8,1,2,0,2,0,0
387,66,5,11,3,6,3,0,1,0,0
388,39,11,8,1,5,0,3,1,0,0
389,49,3,7,6,0,4,0,0,1,0
390,47,5,6,0,0,0,0,1,0,0
391,39,2,6,5,2,4,0,0,0,0
392,211,9,4,3,13,3,0,3,1,0
393,47,11,9,2,1,4,2,0,0,0
394,111,28,7,10,4,8,1,1,3,0
395,88,2,6,0,1,2,0,2,0,0
396,55,2,2,0,5,0,5,2,0,6
397,68,5,2,4,2,0,1,0,0,0
398,42,5,9,10,2,6,0,2,0,0
399,45,10,14,9,5,2,0,1,0,0
400,141,7,12,2,5,1,0,4,0,1
401,83,2,5,2,5,0,0,0,1,0
402,89,4,4,4,0,12,3,0,0,0
403,89,6,9,6,3,3,2,0,0,0
404,56,3,5,0,0,0,0,0,1,0
405,181,58,12,3,8,3,11,2,0,1
406,35,10,8,1,3,0,0,0,0,0
407,28,5,3,0,0,0,1,1,0,0
408,178,7,10,0,8,10,16,1,5,0
409,168,4,11,6,3,6,0,0,0,0
410,68,1,8,3,0,1,0,0,2,0
411,57,2,5,2,5,0,3,0,1,0
412,56,16,7,5,0,0,0,0,0,0
413,40,14,5,0,0,1,0,0,0,0
414,56,2,8,3,0,0,0,0,0,0
415,80,11,3,0,0,0,3,3,2,0
416,101,21,7,0,13,2,14,1,0,0
417,36,3,3,0,0,3,2,0,1,0
418,27,2,4,0,2,0,0,0,0,0
419,26,1,4,8,0,1,0,0,0,0
420,174,27,10,10,11,13,0,4,2,0
421,124,12,20,8,6,6,0,3,3,0
422,56,4,5,3,6,1,0,1,0,0
423,80,1,6,0,0,0,0,0,0,0
424,71,1,5,4,1,6,0,0,0,0
425,68,11,1,7,9,0,8,1,0,0
426,50,7,16,4,3,0,0,0,0,0
427,91,45,23,1,2,4,0,0,2,0
428,42,6,10,3,3,0,0,0,0,0
429,56,2,3,0,3,0,2,0,0,0
430,61,3,5,1,1,0,4,1,0,0
431,19,11,4,8,2,2,0,0,0,0
432,47,1,2,0,1,0,0,0,0,0
433,51,12,6,3,0,2,0,0,1,0
434,41,2,2,3,1,0,1,0,0,0
435,152,3,4,5,3,6,0,3,0,0
436,48,9,6,5,7,9,0,0,3,0
437,61,3,4,6,1,0,0,0,2,0
438,42,4,1,1,2,1,4,2,0,0
439,53,2,4,3,2,1,0,0,1,0
440,53,2,4,3,2,1,0,0,1,0
441,35,14,8,1,0,0,0,0,0,0
442,52,17,2,0,6,1,6,0,0,5
443,144,11,13,11,5,5,0,3,1,0
444,67,1,7,6,2,5,0,0,1,0
445,77,2,4,6,0,3,0,0,0,0
446,67,1,8,1,3,1,0,0,0,0
447,59,9,9,3,2,1,0,0,1,0
448,84,29,16,13,0,3,0,0,0,4
449,42,9,8,5,4,6,0,1,1,0
450,37,2,7,4,1,1,0,0,0,3
451,72,7,5,0,0,0,1,1,0,2
452,72,7,5,0,0,0,1,1,0,2
453,67,5,2,2,2,1,1,0,0,0
454,56,5,10,4,6,0,4,1,0,0
455,30,8,9,1,1,0,0,0,0,0
456,73,4,2,10,2,5,0,0,1,0
457,27,4,3,3,0,0,0,0,1,0
458,35,1,2,2,1,1,0,0,1,0
459,59,0,6,0,6,0,4,0,0,0
460,131,10,11,1,0,5,4,1,0,0
461,30,5,4,1,2,0,2,1,0,0
462,47,0,9,3,2,1,0,3,0,0
463,68,2,6,2,0,3,0,0,1,0
464,62,3,3,11,4,9,1,2,4,0
465,128,13,12,1,8,4,4,3,0,0
466,45,9,3,4,2,1,0,1,0,0
467,49,2,6,0,4,0,0,0,0,0
468,54,3,5,5,1,0,0,3,1,0
469,46,6,6,1,4,5,0,0,1,0
470,54,7,3,0,3,0,2,2,1,0
471,156,14,8,0,10,8,10,0,2,0
472,43,0,7,0,1,2,0,2,1,0
473,24,3,6,0,0,2,5,0,0,0
474,81,20,7,20,0,1,0,1,0,0
475,41,22,0,0,9,0,4,0,0,0
476,33,5,5,2,1,0,0,1,0,0
477,206,22,20,4,15,1,0,5,1,0
478,255,35,11,0,22,21,10,0,0,4
479,45,13,16,0,5,2,7,0,1,0
480,36,5,1,1,1,0,0,1,0,0
481,35,14,7,3,0,1,0,3,0,0
482,91,9,8,0,6,0,5,0,0,8
483,16,18,0,2,0,0,0,1,0,0
484,24,4,2,0,0,0,0,0,0,0
485,39,2,4,0,1,1,0,0,0,0
486,71,5,16,4,9,0,0,0,0,0
487,83,4,8,7,3,0,3,1,1,1
