,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
430,65,9,3,1,3,1,0,0,0,0
431,56,10,9,8,4,2,0,3,0,0
432,11,16,4,1,1,0,4,0,1,1
433,56,2,5,2,2,5,0,6,0,0
434,98,20,10,2,0,4,0,1,0,0
435,19,13,2,0,0,0,1,0,0,0
436,68,13,9,9,0,9,0,0,0,0
437,46,3,0,3,6,0,0,3,0,0
438,211,25,15,1,20,9,12,0,0,12
439,44,5,2,0,4,0,5,2,0,0
440,88,8,3,0,1,0,5,2,0,0
441,25,5,4,3,1,3,0,2,1,0
442,75,11,1,0,1,0,8,4,0,0
443,47,3,3,0,2,0,3,0,0,0
444,40,3,1,3,0,1,0,0,0,0
445,44,1,1,0,2,0,3,0,0,0
446,59,9,7,0,7,0,0,2,3,0
447,173,7,17,0,4,3,21,7,0,0
448,55,5,8,1,6,0,4,1,0,0
449,52,4,2,2,1,1,0,1,1,3
450,60,14,11,8,8,1,0,1,0,0
451,82,11,6,3,41,12,9,0,0,7
452,26,3,4,0,2,0,0,0,0,0
453,46,2,0,1,0,0,0,0,0,0
454,132,24,6,8,3,7,0,0,0,0
455,58,12,5,2,0,0,0,0,1,0
456,58,5,9,4,4,2,0,2,0,0
457,70,11,3,1,0,3,0,2,1,0
458,128,16,3,0,4,5,9,4,1,8
459,90,10,8,10,4,11,0,6,1,0
460,40,3,5,6,0,2,0,0,0,0
461,100,3,7,4,0,2,0,3,0,3
462,75,12,4,8,7,3,0,1,0,6
463,40,13,3,0,2,0,4,2,2,2
464,32,20,9,1,21,0,13,2,0,0
465,53,2,5,5,0,5,0,0,0,0
466,104,5,7,4,5,5,0,5,0,0
467,25,1,1,3,1,2,0,0,1,0
468,35,14,7,1,6,0,0,13,0,0
469,131,5,4,7,8,15,11,0,0,0
470,42,0,6,2,0,2,0,0,0,0
471,71,11,7,1,6,1,0,1,0,4
472,61,15,2,0,0,2,2,1,0,1
473,60,6,2,5,0,5,0,0,0,0
474,125,18,11,8,0,5,0,6,1,0
475,135,13,9,3,4,0,1,0,0,0
476,72,6,12,2,0,3,8,1,0,0
477,82,13,7,8,0,5,0,2,2,0
478,53,1,4,4,0,0,0,1,0,1
479,36,1,0,1,2,5,0,0,2,0
480,51,14,10,2,6,1,4,0,0,0
481,73,2,11,3,0,4,0,1,0,0
482,55,0,5,6,2,1,0,4,1,0
483,40,4,4,0,6,3,0,0,0,0
484,52,6,4,3,1,2,0,2,1,0
485,91,2,4,1,0,3,6,1,0,0
486,26,10,1,1,1,3,0,1,0,0
487,26,10,1,1,1,3,0,1,0,0
488,133,12,16,1,14,2,12,0,0,0
489,52,52,10,2,24,0,12,0,0,0
490,45,24,8,0,17,3,1,2,0,3
491,155,11,9,11,18,6,0,11,0,11
492,50,2,1,3,1,1,0,0,0,0
493,46,2,6,4,0,1,0,0,0,0
494,39,23,5,1,3,2,0,1,1,0
495,81,11,3,4,0,0,0,11,0,0
496,32,2,10,4,0,3,0,1,0,0
497,196,35,2,13,14,4,0,13,0,0
498,69,4,9,2,5,0,0,0,0,0
499,78,6,8,9,7,1,14,0,1,0
500,79,7,7,8,6,5,0,1,1,0
501,69,9,5,3,1,3,0,3,1,0
502,33,9,4,3,0,2,5,0,1,0
503,67,5,2,8,3,6,0,0,2,0
504,169,7,7,13,4,4,0,3,2,0
505,61,6,2,1,3,0,6,0,0,0
506,163,7,5,13,0,9,0,4,1,0
507,45,5,4,0,4,1,1,2,0,0
508,102,13,4,0,0,2,7,2,0,2
509,43,5,1,4,0,3,0,2,1,0
510,78,8,5,5,11,2,0,0,0,0
511,122,10,4,4,15,3,0,9,0,1
512,107,12,5,1,0,0,16,3,0,0
513,97,3,13,0,4,2,3,0,0,0
514,88,1,6,4,3,1,0,1,0,0
515,140,3,7,6,6,3,0,6,0,0
516,21,0,0,0,1,0,6,0,0,0
517,57,30,10,0,2,1,4,0,0,3
518,39,1,4,6,0,5,0,1,0,0
519,47,5,1,3,2,0,4,0,0,0
520,48,3,5,4,1,0,0,2,0,1
521,151,13,11,0,7,1,7,4,0,0
522,44,10,5,4,5,1,0,0,1,0
523,76,2,18,6,3,3,0,2,0,0
524,31,14,3,3,5,1,0,0,1,0
525,31,7,3,3,2,0,0,2,2,0
526,83,19,9,1,6,1,6,0,0,0
527,81,19,9,1,6,1,6,0,0,0
528,47,1,1,2,1,0,0,1,0,0
529,71,3,5,5,3,3,0,0,0,0
530,55,6,11,8,2,1,0,0,1,0
531,190,26,14,16,14,3,0,2,0,0
532,134,8,16,0,12,0,11,0,0,0
533,105,10,7,6,0,9,1,1,1,4
534,46,7,2,4,1,2,0,0,0,0
535,16,5,7,0,2,1,0,0,0,5
536,39,7,1,1,0,2,0,0,0,0
537,27,5,1,4,0,1,0,0,0,0
538,62,11,8,0,4,0,6,2,0,0
539,27,5,9,5,2,3,0,0,0,0
540,40,2,3,3,0,5,0,0,0,0
541,22,10,7,0,0,0,0,0,0,0
542,111,1,9,12,1,5,0,0,0,0
543,34,22,6,1,3,0,0,2,0,0
544,108,22,22,5,9,8,2,13,0,0
545,24,2,4,0,2,0,0,0,0,0
546,74,15,3,7,0,6,0,1,1,0
547,38,1,9,2,2,6,0,1,1,0
548,85,5,5,8,4,3,0,2,1,0
549,63,13,2,0,8,0,10,10,0,7
550,35,2,0,0,0,0,0,0,0,0
551,181,23,8,1,0,1,8,0,0,0
552,56,4,1,1,0,0,2,1,0,0
553,59,13,10,10,7,0,0,1,0,0
554,17,10,3,0,3,0,0,1,0,0
555,81,1,8,3,2,2,1,0,0,0
556,103,13,8,1,9,2,2,0,1,7
557,121,16,18,3,9,1,0,3,1,0
558,25,10,0,1,0,2,0,0,1,0
559,24,0,0,0,0,1,2,0,0,0
560,120,13,6,12,0,9,0,2,4,0
561,58,5,3,0,0,1,0,0,1,0
562,107,10,8,0,4,0,3,0,0,0
563,59,8,2,0,0,0,4,0,0,2
564,87,7,1,2,4,2,4,0,0,0
565,60,9,4,2,0,1,0,4,0,0
566,73,9,13,0,1,1,3,1,0,2
567,35,1,8,2,1,0,0,0,1,0
568,70,4,1,1,0,4,0,3,0,0
569,81,4,3,1,4,2,5,0,0,0
570,130,21,9,10,0,6,0,3,1,0
571,114,8,12,0,6,0,12,1,0,0
572,116,12,15,6,0,8,0,1,4,0
573,42,5,5,3,5,1,0,0,1,0
574,143,27,6,0,2,1,10,1,0,6
575,119,4,10,5,0,1,0,10,1,0
576,66,3,4,5,3,0,0,0,0,0
577,39,1,1,1,1,0,3,0,1,0
578,124,2,5,5,10,4,0,0,0,0
579,62,9,10,4,2,0,0,13,0,0
580,91,7,11,3,2,1,0,0,0,0
581,71,6,3,3,3,0,0,0,0,0
582,51,3,2,2,4,2,0,3,1,0
583,84,0,9,9,2,1,0,0,1,6
584,66,9,3,3,3,3,0,0,0,0
585,96,9,5,0,7,5,2,1,0,0
586,36,4,6,5,0,1,0,0,2,0
587,31,1,7,6,2,0,0,0,0,0
588,19,2,7,0,0,0,0,1,0,0
589,54,1,2,1,4,1,0,1,2,0
590,93,6,8,8,6,3,0,5,3,0
591,129,12,9,4,7,11,0,0,2,0
592,66,7,15,2,1,0,5,1,0,0
593,86,17,4,3,7,2,4,0,0,0
594,39,0,3,4,2,2,0,2,1,0
595,41,9,9,4,6,0,0,2,0,0
596,101,11,8,2,6,2,7,0,0,0
597,116,12,19,10,2,3,0,0,2,0
598,108,6,13,0,0,0,12,2,0,9
599,48,1,3,2,0,1,0,1,1,0
600,101,13,2,2,12,6,4,1,1,0
601,45,2,4,2,0,1,0,0,0,0
602,80,8,8,2,4,1,4,1,0,0
603,40,4,2,0,2,0,7,0,1,0
604,139,21,10,7,0,9,0,0,1,0
605,41,6,2,3,0,0,0,0,0,3
606,32,7,2,1,0,0,0,0,0,0
607,42,7,7,0,3,0,0,0,0,0
608,11,7,5,0,0,0,0,1,0,0
609,68,13,9,9,0,9,0,0,0,0
610,66,1,1,4,0,1,0,2,1,0
611,36,2,3,3,0,2,0,0,0,0
612,37,2,2,2,0,1,0,1,0,0
613,41,6,0,0,0,0,3,0,1,0
614,45,3,4,0,0,2,2,0,0,0
615,75,5,2,4,0,3,0,0,0,0
616,83,16,3,5,1,4,0,2,0,0
617,56,4,13,4,4,0,1,0,1,0
618,56,4,4,3,3,2,0,1,0,1
619,139,8,12,9,2,4,0,1,2,0
620,32,2,9,2,0,1,0,1,0,0
621,36,4,0,2,0,3,2,0,1,0
622,69,3,6,7,2,4,0,0,3,0
623,36,6,2,5,0,4,0,0,2,0
624,66,9,4,0,0,0,3,1,0,2
625,79,15,8,8,7,3,0,1,0,6
